"ANO";"MES";"UF";"TIPO_PASSAPORTE";QTD
"2006";"12";"DF";"PASSAPORTE COMUM - ICAO";874
"2006";"12";"DF";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";6
"2006";"12";"GO";"PASSAPORTE COMUM - ICAO";804
"2006";"12";"PE";"PASSAPORTE COMUM - ICAO";1
"2006";"12";"RJ";"PASSAPORTE COMUM - ICAO";1
"2007";"01";"DF";"PASSAPORTE COMUM - ICAO";2199
"2007";"01";"DF";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";10
"2007";"01";"DF";"PASSAPORTE PARA ESTRANGEIRO - NÃO ICAO";1
"2007";"01";"GO";"PASSAPORTE COMUM - ICAO";1999
"2007";"02";"AM";"PASSAPORTE COMUM - ICAO";581
"2007";"02";"AM";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";17
"2007";"02";"DF";"PASSAPORTE COMUM - ICAO";2187
"2007";"02";"DF";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";20
"2007";"02";"GO";"PASSAPORTE COMUM - ICAO";2835
"2007";"02";"GO";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";9
"2007";"03";"AM";"PASSAPORTE COMUM - ICAO";762
"2007";"03";"AM";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";4
"2007";"03";"DF";"PASSAPORTE COMUM - ICAO";2841
"2007";"03";"DF";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";23
"2007";"03";"GO";"PASSAPORTE COMUM - ICAO";5130
"2007";"03";"GO";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";14
"2007";"04";"AM";"PASSAPORTE COMUM - ICAO";631
"2007";"04";"AM";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";3
"2007";"04";"DF";"LAISSEZ-PASSER - NÃO ICAO";1
"2007";"04";"DF";"PASSAPORTE COMUM - ICAO";2731
"2007";"04";"DF";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";32
"2007";"04";"GO";"PASSAPORTE COMUM - ICAO";3647
"2007";"04";"GO";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";13
"2007";"04";"SP";"LAISSEZ-PASSER - NÃO ICAO";6
"2007";"04";"SP";"PASSAPORTE COMUM - ICAO";6500
"2007";"04";"SP";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";121
"2007";"04";"SP";"PASSAPORTE PARA ESTRANGEIRO - NÃO ICAO";2
"2007";"05";"AM";"LAISSEZ-PASSER - NÃO ICAO";1
"2007";"05";"AM";"PASSAPORTE COMUM - ICAO";962
"2007";"05";"AM";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";3
"2007";"05";"AM";"PASSAPORTE PARA ESTRANGEIRO - NÃO ICAO";14
"2007";"05";"DF";"PASSAPORTE COMUM - ICAO";4068
"2007";"05";"DF";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";19
"2007";"05";"GO";"PASSAPORTE COMUM - ICAO";4164
"2007";"05";"GO";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";17
"2007";"05";"RS";"PASSAPORTE COMUM - ICAO";14
"2007";"05";"SC";"PASSAPORTE COMUM - ICAO";542
"2007";"05";"SC";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";9
"2007";"05";"SP";"LAISSEZ-PASSER - NÃO ICAO";29
"2007";"05";"SP";"PASSAPORTE COMUM - ICAO";18600
"2007";"05";"SP";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";70
"2007";"05";"SP";"PASSAPORTE PARA ESTRANGEIRO - NÃO ICAO";5
"2007";"06";"AM";"PASSAPORTE COMUM - ICAO";1583
"2007";"06";"AM";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";1
"2007";"06";"AP";"PASSAPORTE COMUM - ICAO";18
"2007";"06";"DF";"LAISSEZ-PASSER - NÃO ICAO";1
"2007";"06";"DF";"PASSAPORTE COMUM - ICAO";3803
"2007";"06";"DF";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";3
"2007";"06";"GO";"PASSAPORTE COMUM - ICAO";4036
"2007";"06";"GO";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";10
"2007";"06";"PA";"PASSAPORTE COMUM - ICAO";259
"2007";"06";"RS";"PASSAPORTE COMUM - ICAO";44
"2007";"06";"SC";"LAISSEZ-PASSER - NÃO ICAO";2
"2007";"06";"SC";"PASSAPORTE COMUM - ICAO";2835
"2007";"06";"SC";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";20
"2007";"06";"SP";"LAISSEZ-PASSER - NÃO ICAO";27
"2007";"06";"SP";"PASSAPORTE COMUM - ICAO";20028
"2007";"06";"SP";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";51
"2007";"06";"SP";"PASSAPORTE PARA ESTRANGEIRO - NÃO ICAO";5
"2007";"07";"AC";"PASSAPORTE COMUM - ICAO";56
"2007";"07";"AM";"PASSAPORTE COMUM - ICAO";1395
"2007";"07";"AM";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";5
"2007";"07";"AP";"PASSAPORTE COMUM - ICAO";179
"2007";"07";"AP";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";3
"2007";"07";"DF";"LAISSEZ-PASSER - NÃO ICAO";1
"2007";"07";"DF";"PASSAPORTE COMUM - ICAO";4615
"2007";"07";"DF";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";5
"2007";"07";"GO";"PASSAPORTE COMUM - ICAO";3807
"2007";"07";"GO";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";28
"2007";"07";"GO";"PASSAPORTE PARA ESTRANGEIRO - NÃO ICAO";1
"2007";"07";"MA";"PASSAPORTE COMUM - ICAO";59
"2007";"07";"PA";"LAISSEZ-PASSER - NÃO ICAO";2
"2007";"07";"PA";"PASSAPORTE COMUM - ICAO";889
"2007";"07";"PA";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";77
"2007";"07";"RO";"PASSAPORTE COMUM - ICAO";208
"2007";"07";"RS";"PASSAPORTE COMUM - ICAO";33
"2007";"07";"RS";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";1
"2007";"07";"SC";"PASSAPORTE COMUM - ICAO";3216
"2007";"07";"SC";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";16
"2007";"07";"SP";"LAISSEZ-PASSER - NÃO ICAO";16
"2007";"07";"SP";"PASSAPORTE COMUM - ICAO";22644
"2007";"07";"SP";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";69
"2007";"07";"SP";"PASSAPORTE PARA ESTRANGEIRO - NÃO ICAO";4
"2007";"08";"AC";"PASSAPORTE COMUM - ICAO";97
"2007";"08";"AL";"PASSAPORTE COMUM - ICAO";393
"2007";"08";"AL";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";3
"2007";"08";"AM";"PASSAPORTE COMUM - ICAO";1478
"2007";"08";"AM";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";2
"2007";"08";"AP";"PASSAPORTE COMUM - ICAO";205
"2007";"08";"CE";"PASSAPORTE COMUM - ICAO";274
"2007";"08";"CE";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";3
"2007";"08";"DF";"PASSAPORTE COMUM - ICAO";6484
"2007";"08";"DF";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";3
"2007";"08";"GO";"LAISSEZ-PASSER - NÃO ICAO";4
"2007";"08";"GO";"PASSAPORTE COMUM - ICAO";3439
"2007";"08";"GO";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";51
"2007";"08";"MA";"PASSAPORTE COMUM - ICAO";548
"2007";"08";"MA";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";2
"2007";"08";"MS";"PASSAPORTE COMUM - ICAO";368
"2007";"08";"PA";"PASSAPORTE COMUM - ICAO";1135
"2007";"08";"PA";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";43
"2007";"08";"PI";"PASSAPORTE COMUM - ICAO";223
"2007";"08";"RO";"PASSAPORTE COMUM - ICAO";746
"2007";"08";"RO";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";2
"2007";"08";"RS";"LAISSEZ-PASSER - NÃO ICAO";1
"2007";"08";"RS";"PASSAPORTE COMUM - ICAO";822
"2007";"08";"RS";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";12
"2007";"08";"SC";"PASSAPORTE COMUM - ICAO";4647
"2007";"08";"SC";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";18
"2007";"08";"SE";"PASSAPORTE COMUM - ICAO";347
"2007";"08";"SP";"LAISSEZ-PASSER - NÃO ICAO";19
"2007";"08";"SP";"PASSAPORTE COMUM - ICAO";21730
"2007";"08";"SP";"PASSAPORTE DE EMERGÊNCIA - NÃO ICAO";59
"2007";"08";"SP";"PASSAPORTE PARA ESTRANGEIRO - NÃO ICAO";4
"2007";"09";"AC";"PASSAPORTE COMUM - ICAO";68
"2007";"09";"AL";"PASSAPORTE COMUM - ICAO";373
